elapsed_s,prefill_replicas,prefill_ready,decode_replicas,decode_ready,decode-tokenaware_metric,prefill-tokenaware_metric
5041,1,1,1,1,211m,0
5058,1,1,1,1,211m,0
5076,1,1,1,1,137m,0
5093,1,1,1,1,148m,0
5111,1,1,1,1,148m,0
5129,1,1,1,1,180m,0
5146,1,1,1,1,180m,0
5165,1,1,1,1,148m,0
5183,1,1,1,1,18m,0
5200,1,1,1,1,18m,0
5219,1,1,1,1,24m,0
5237,1,1,1,1,24m,0
5254,1,1,1,1,0,0
5272,1,1,1,1,0,0
5289,1,1,1,1,0,0
5307,1,1,1,1,0,0
5325,1,1,1,1,0,0
5342,1,1,1,1,0,0
5360,1,1,1,1,0,0
5378,1,1,1,1,0,0
5396,1,1,1,1,0,0
5413,1,1,1,1,0,0
5431,1,1,1,1,0,0
5448,1,1,1,1,0,0
5466,1,1,1,1,0,0
5483,1,1,1,1,0,0
5501,1,1,1,1,0,0
5521,1,1,1,1,0,0
5539,1,1,1,1,0,0
5557,1,1,1,1,0,0
5575,1,1,1,1,0,0
5592,1,1,1,1,0,0
5609,1,1,1,1,0,0
5627,1,1,1,1,0,0
5644,1,1,1,1,0,0
5662,1,1,1,1,0,0
5680,1,1,1,1,0,0
5697,1,1,1,1,0,0
5715,1,1,1,1,0,0
5732,1,1,1,1,0,0
5750,1,1,1,1,0,0
5768,1,1,1,1,0,0
5785,1,1,1,1,0,0
5803,1,1,1,1,0,0
5821,1,1,1,1,0,0
5839,1,1,1,1,0,0
5857,1,1,1,1,0,0
5875,1,1,1,1,0,0
5893,1,1,1,1,0,0
5911,1,1,1,1,0,0
5929,1,1,1,1,0,0
5947,1,1,1,1,0,0
5966,1,1,1,1,0,0
5984,1,1,1,1,0,0
6002,1,1,1,1,0,0
6020,1,1,1,1,0,0
6037,1,1,1,1,0,0
6055,1,1,1,1,0,0
6073,1,1,1,1,0,0
6091,1,1,1,1,0,0
6109,1,1,1,1,0,0
6127,1,1,1,1,0,0
6148,1,1,1,1,0,0
6166,1,1,1,1,0,0
6183,1,1,1,1,0,0
6201,1,1,1,1,0,0
6220,1,1,1,1,0,0
6240,1,1,1,1,0,0
6258,1,1,1,1,0,0
6276,1,1,1,1,0,0
6294,1,1,1,1,0,0
6312,1,1,1,1,0,0
6330,1,1,1,1,0,0
6348,1,1,1,1,0,0
